Территория преимущественного использования ТС	Категория «A», «М»	Категория «B», «BE» юр. лиц	Категория «B», «BE» физ. лиц, индивид. Предприним.	Категория «B», «BE» Такси	Категория «C», «CE» менее 16 тонн (включит.)	Категория «C», «CE» более 16 тонн	Категория «D», «DE» до 16 мест (включит.)	Категория «D», «DE» более 16 мест	Категория «D», «DE» Маршрутка	Троллейбусы	Трамваи	Тракторы, самоходные дорожностроительные и иные машины
Новгородская область	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Новосибирская область	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Омская область	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Оренбургская область	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Орловская область	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Пензенская область	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Псковская область	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Ростовская область	1407	2911	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Рязанская область	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Самарская область	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Саратовская область	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Сахалинская область	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Свердловская область	1407	2058	4118	7399	3370	5072	4044	5053	7399	4044	2521	1895
Смоленская область	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Тамбовская область	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Тверская область	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Томская область	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Тульская область	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Тюменская область	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Ульяновская область	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Челябинская область	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Ярославская область	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Москва	1407	2058	3500	7399	5053	7609	4044	5053	7399	4044	2521	1895
Санкт-Петербург	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	1895
Севастополь	1407	2058	4840	7399	5053	7609	4044	5053	7399	4044	2521	1895
Еврейская автономная область	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Ненецкий автономный округ	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Ханты-Мансийский автономный округ - Югра	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Чукотский автономный округ	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Ямало-Ненецкий автономный округ	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Байконур	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
