Территория примущественного использования транспортного средства	Мотоциклы, мопеды и легкие квадрициклы (транспортные средства категории «A», «М»)	юридических лиц	физических лиц, индивидуальных предпринимателей	используемые в качестве такси	с разрешенной максимальной массой 16 тонн и менее	с разрешенной максимальной массой более 16 тонн	с числом пассажирских мест до 16 включительно	с числом пассажирских мест более 16	используемые на регулярных перевозках с посадкой и высадкой пассажиров как в установленных остановочных пунктах по маршруту регулярных перевозок, так и в любом не _ааппашаиипм ппарылаллы л пппмгипгп л рымгдиыо_	Троллейбусы (транспортные средства категории «Tb»)	Трамваи (транспортные средства категории «Tm»)	Тракторы, самоходные дорожно-строительные и иные машины*, за исключением транспортных средств, не имеющих колесных движителей
Нижегородская область												
Арзамас	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Балахна	1407	2911	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Бор	1407	2911	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Выкса	1407	2911	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Дзержинск	1407	2911	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Кстово	1407	2911	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Нижний Новгород	1407	2911	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Саров	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2911	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Новгородская область												
Боровичи	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Великий Новгород	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Новосибирская область												
Бердск	1407	2058	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Искитим	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Куйбышев	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Новосибирск	1407	2058	4300	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Омская область												
Омск	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
