Территория преимущественного использования ТС	Категория «A», «М»	Категория «B», «BE» юр. лиц	Категория «B», «BE» физ. лиц, индивид. Предприним.	Категория «B», «BE» Такси	Категория «C», «CE» менее 16 тонн (включит.)	Категория «C», «CE» более 16 тонн	Категория «D», «DE» до 16 мест (включит.)	Категория «D», «DE» более 16 мест	Категория «D», «DE» Маршрутка	Троллейбусы	Трамваи	Тракторы, самоходные дорожностроительные и иные машины
Бийск	694	2058	4736	7399	2807	4227	2246	2807	7399	4044	2521	899
Заринск, Новоалтайск, Рубцовск	694	2058	4736	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	694	2058	4736	7399	2807	4227	2246	2807	7399	4044	2521	899
Забайкальский край												
Краснокаменск	694	2058	4031	7399	2807	4227	2246	2807	7399	4044	2521	899
Чита	694	2058	4736	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	694	2058	3978	7399	2807	4227	2246	2807	7399	4044	2521	899
Камчатский край												
Петропавловск-Камчатский	694	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	694	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Краснодарский край												
Анапа	694	2058	4830	7399	2807	4227	2246	2807	7399	4044	2521	899
Геленджик	694	2058	4840	7399	2807	4227	2246	2807	7399	4044	2521	899
Армавир	694	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Сочи	694	2058	4937	7399	2807	4227	2246	2807	7399	4044	2521	899
Туапсе	694	2058	4910	7399	2807	4227	2246	2807	7399	4044	2521	899
Белореченск	694	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Ейск	694	2058	4750	7399	2807	4227	2246	2807	7399	4044	2521	899
Кропоткин	694	2058	4930	7399	2807	4227	2246	2807	7399	4044	2521	899
Крымск	694	2058	4890	7399	2807	4227	2246	2807	7399	4044	2521	899
Курганинск	694	2058	4850	7399	2807	4227	2246	2807	7399	4044	2521	899
Лабинск	694	2058	4860	7399	2807	4227	2246	2807	7399	4044	2521	899
Славянск-на-Кубани	694	2058	4930	7399	2807	4227	2246	2807	7399	4044	2521	899
Тимашевск	694	2058	4870	7399	2807	4227	2246	2807	7399	4044	2521	899
Тихорецк	694	2058	4880	7399	2807	4227	2246	2807	7399	4044	2521	899
Краснодар	694	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Новороссийск	694	2058	4840	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	694	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Красноярский край												
Ачинск, Зеленогорск	694	2058	4736	7399	2807	4227	2246	2807	7399	4044	2521	899
Железногорск, Норильск	694	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Канск, Лесосибирск, Минусинск, Назарово	694	2058	4736	7399	2807	4227	2246	2807	7399	4044	2521	899
Красноярск	694	2058	4500	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	694	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Пермский край												
Березники, Краснокамск	694	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
