Регион	Населённый пункт	Категория «А», «М»	Категория «B», «BE» юр. лиц	Категория «B», «BE» физ. лиц, индивид. Предприним.	Категория «B», «BE» Такси	Категория «C», «CE» менее 16 тонн (включит.)	Категория «C», «CE» более 16 тонн	Категория «D», «DE» до 16 мест (включит.)	Категория «D», «DE» более 16 мест	Категория «D», «DE» маршрутка	Троллейбусы	Трамваи	Тракторы, самоходные дорожностроительные и иные машины
Республика Татарстан	Елабуга	1407	2058	4000	7399	2807	4227	2246	2807	7399	4044	2521	899
Республика Татарстан	Казань	1407	2058	4100	7399	2807	4227	2246	2807	7399	4044	2521	899
Республика Татарстан	Набережные Челны	1407	2058	3700	7399	2807	4227	2246	2807	7399	4044	2521	899
Республика Тыва	Кызыл	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Республика Тыва	прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Удмуртская Республика	Воткинск	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Удмуртская Республика	Глазов	1407	2058	3500	7399	2807	4227	2246	2807	7399	4044	2521	899
Удмуртская Республика	Сарапул	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Удмуртская Республика	Ижевск	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Удмуртская Республика	прочие города и населенные пункты	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Республика Хакасия	Абакан	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Республика Хакасия	Саяногорск	1407	2058	4118	7399	2807	4227	4044	5053	7399	4044	2521	899
Республика Хакасия	Черногорск	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Республика Хакасия	прочие города и населенные пункты	1407	2058	4118	7399	2807	4227	4044	5053	7399	4044	2521	899
Чеченская Республика	все города и населенные пункты области	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Чувашская Республика	Канаш	694	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Чувашская Республика	Новочебоксарск	694	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Чувашская Республика	Чебоксары	694	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Чувашская Республика	прочие города и населенные пункты	694	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Алтайский край	Барнаул	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Алтайский край	Бийск	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1236
Алтайский край	Заринск	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Алтайский край	Новоалтайск	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1236
Алтайский край	Рубцовск	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1236
Алтайский край	прочие города и населенные пункты	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1236
Забайкальский край	Краснокаменск	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Забайкальский край	Чита	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Забайкальский край	прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Камчатский край	Петропавловск-Камчатский	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
