Регион	Населённый пункт	Категория «А», «М»	Категория «B», «BE» юр. лиц	Категория «B», «BE» физ. лиц, индивид. Предприним.	Категория «B», «BE» Такси	Категория «C», «CE» менее 16 тонн (включит.)	Категория «C», «CE» более 16 тонн	Категория «D», «DE» до 16 мест (включит.)	Категория «D», «DE» более 16 мест	Категория «D», «DE» маршрутка	Троллейбусы	Трамваи	Тракторы, самоходные дорожностроительные и иные машины
Оренбургская область	прочие города и населенные пункты	1407	2911	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Орловская область	Ливны	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Орловская область	Мценск	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Орловская область	Орел	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Орловская область	прочие города и населенные пункты	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Пензенская область	Заречный (Пензенская область)	694	2058	3900	7399	2807	4227	2246	2807	7399	4044	2521	899
Пензенская область	Кузнецк	694	2058	3900	7399	2807	4227	2246	2807	7399	4044	2521	899
Пензенская область	Пенза	694	2058	3900	7399	2807	4227	2246	2807	7399	4044	2521	899
Пензенская область	прочие города и населенные пункты	694	2058	3900	7399	2807	4227	2246	2807	7399	4044	2521	899
Псковская область	Великие Луки	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Псковская область	Псков	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Псковская область	прочие города и населенные пункты	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Ростовская область	Азов	1407	2058	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Ростовская область	Ростов-на-Дону	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Ростовская область	Шахты	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Ростовская область	прочие города и населенные пункты	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Ростовская область	Батайск	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Ростовская область	Волгодонск	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Ростовская область	Гуково	1407	2058	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Ростовская область	Каменск- Шахтинский	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Ростовская область	Новочеркасск	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Ростовская область	Новошахтинск	1407	2058	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Ростовская область	Сальск	1407	2058	4118	7399	5053	4227	4044	5053	7399	4044	2521	1895
Ростовская область	Таганрог	1407	2058	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Рязанская область	Рязань	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	899
Рязанская область	прочие города и населенные пункты	1407	2058	3795	7399	5053	7609	4044	5053	7399	4044	2521	899
Самарская область	Новокуйбышевск	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Самарская область	Сызрань	1407	2058	4335	7399	2807	4227	2246	2807	7399	4044	2521	899
Самарская область	Самара	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Самарская область	Тольятти	1407	2058	4323	7399	2807	4227	2246	2807	7399	4044	2521	899
Самарская область	Чапаевск	1407	2058	4335	7399	2807	4227	2246	2807	7399	4044	2521	899
Самарская область	прочие города и населенные пункты	1407	2058	4335	7399	2807	4227	2246	2807	7399	4044	2521	899
Саратовская область	Балаково	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Саратовская область	Балашов	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Саратовская область	Вольск	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Саратовская область	Саратов	1407	2058	3700	7399	2807	4227	2246	2807	7399	4044	2521	899
Саратовская область	Энгельс	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Саратовская область	прочие города и населенные пункты	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Сахалинская область	Южно-Сахалинск	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Сахалинская область	прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Свердловская область	Асбест	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Свердловская область	прочие города и населенные пункты	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Свердловская область	Ревда	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Свердловская область	Березовский (Свердловская область)	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Свердловская область	Верхняя Пышма	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Свердловская область	Новоуральск	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Свердловская область	Первоуральск	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Свердловская область	Верхняя Салда	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Свердловская область	Полевской	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Свердловская область	Екатеринбург	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Смоленская область	Вязьма	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Смоленская область	Рославль	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Смоленская область	Сафоново	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Смоленская область	Ярцево	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Смоленская область	Смоленск	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Смоленская область	прочие города и населенные пункты	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Тамбовская область	Мичуринск	1407	2058	3706	7399	5053	7609	4044	5053	7399	4044	2521	1516
Тамбовская область	Тамбов	1407	2058	3706	7399	5053	7609	4044	5053	7399	4044	2521	1516
Тамбовская область	прочие города и населенные пункты	1407	2058	3706	7399	5053	7609	4044	5053	7399	4044	2521	1516
Тверская область	Вышний Волочек	694	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Тверская область	Кимры	694	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Тверская область	Ржев	694	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Тверская область	Тверь	694	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Тверская область	прочие города и населенные пункты	694	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Томская область	Северск	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Томская область	Томск	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Томская область	прочие города и населенные пункты	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Тульская область	Алексин	1407	2058	3706	7399	5053	7609	4044	5053	7399	4044	2521	1895
Тульская область	Ефремов	1407	2058	3706	7399	5053	7609	4044	5053	7399	4044	2521	1895
Тульская область	Новомосковск	1407	2058	3706	7399	5053	7609	4044	5053	7399	4044	2521	1895
Тульская область	Тула	1407	2058	3706	7399	5053	7609	4044	5053	7399	4044	2521	1895
Тульская область	Узловая	1407	2058	3706	7399	5053	7609	4044	5053	7399	4044	2521	1895
Тульская область	Щекино	1407	2058	3706	7399	5053	7609	4044	5053	7399	4044	2521	1895
Тульская область	прочие города и населенные пункты	1407	2058	3706	7399	5053	7609	4044	5053	7399	4044	2521	1895
Тюменская область	Тобольск	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Тюменская область	Тюмень	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Тюменская область	прочие города и населенные пункты	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Ульяновская область	Димитровград	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Ульяновская область	Ульяновск	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Ульяновская область	прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Челябинская область	Златоуст	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Челябинская область	Миасс	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Челябинская область	Копейск	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Челябинская область	Магнитогорск	1407	2058	3706	7399	2807	4227	2246	2807	7399	4044	2521	899
Челябинская область	Сатка	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Челябинская область	Чебаркуль	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Челябинская область	Челябинск	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Челябинская область	прочие города и населенные пункты	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Ярославская область	Ярославль	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Ярославская область	прочие города и населенные пункты	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Москва	Москва	1407	2058	3590	7399	2807	4227	2246	2807	7399	4044	2521	899
Санкт-Петербург	Город Санкт-Петербург	1407	2058	3690	7399	2807	4227	2246	2807	7399	4044	2521	899
Севастополь	Севастополь	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Еврейская автономная область	Биробиджан	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Еврейская автономная область	прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Ненецкий автономный округ	прочие города и населенные пункты	1407	2058	3500	7399	2807	4227	2246	2807	7399	4044	2521	899
Ханты-Мансийский автономный округ - Югра	Когалым	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Ханты-Мансийский автономный округ - Югра	Нефтеюганск	1407	2058	4300	7399	2807	4227	2246	2807	7399	4044	2521	899
Ханты-Мансийский автономный округ - Югра	Нягань	1407	2058	4318	7399	2807	4227	2246	2807	7399	4044	2521	899
Ханты-Мансийский автономный округ - Югра	Сургут	1407	2058	4300	7399	2807	4227	2246	2807	7399	4044	2521	899
Ханты-Мансийский автономный округ - Югра	Нижневартовск	1407	2058	4300	7399	2807	4227	2246	2807	7399	4044	2521	899
Ханты-Мансийский автономный округ - Югра	Ханты-Мансийск	1407	2058	4300	7399	2807	4227	2246	2807	7399	4044	2521	899
Ханты-Мансийский автономный округ - Югра	прочие города и населенные пункты	1407	2058	4300	7399	2807	4227	2246	2807	7399	4044	2521	899
Чукотский автономный округ	все города и населенные пункты области	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Ямало- Ненецкий автономный округ	Новый Уренгой	1407	2058	4318	7399	2807	4227	2246	2807	7399	4044	2521	899
Ямало- Ненецкий автономный округ	Ноябрьск	1407	2058	4318	7399	2807	4227	2246	2807	7399	4044	2521	899
Ямало- Ненецкий автономный округ	прочие города и населенные пункты	1407	2058	4318	7399	2807	4227	2246	2807	7399	4044	2521	899
Байконур	прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
