Субъект РФ	Населенный пункт	Мотоциклы, мопеды и легкие квадрициклы (транспортные средства категории «A», «М») 	Транспортные средства категории «B», «BE» юридических лиц 	Транспортные средства категории «B», «BE» физических лиц, индивидуальных предпринимателей 	Транспортные средства категории «B», «BE» используемые в качестве такси 	Транспортные средства категорий «C» и «CE» с разрешенной максимальной массой 16 тонн и менее 	Транспортные средства категорий «C» и «CE» с разрешенной максимальной массой более 16 тонн 	Транспортные средства категорий «D» и «DE» с числом пассажирских мест до 16 включительно 	Транспортные средства категорий «D» и «DE» с числом пассажирских мест более 16 	Транспортные средства категорий «D» и «DE» используемые на регулярных перевозках с посадкой и высадкой пассажиров как в установленных остановочных пунктах по маршруту регулярных перевозок, так и в любом не запрещенном правилами дорожного движения месте по маршруту регулярных перевозок 	Троллейбусы (транспортные средства категории «Tb») 	Трамваи (транспортные средства категории «Tm»)	Тракторы, самоходные дорожно-строительные и иные машины*, за исключением транспортных средств, не имеющих колесных движителей 
	Прочие города и населенные пункты	694	2058	4794	7399	2807	4227	2246	2807	7399	4044	2521	899
Удмуртская Республика	Воткинск	694	2058	3700	7399	2807	4227	2246	2807	7399	4044	2521	899
	Глазов	694	2058	3800	7399	2807	4227	2246	2807	7399	4044	2521	899
	Сарапул	694	2058	3700	7399	2807	4227	2246	2807	7399	4044	2521	899
	Ижевск	694	2058	3700	7399	2807	4227	2246	2807	7399	4044	2521	899
	Прочие города и населенные пункты	694	2058	3700	7399	2807	4227	2246	2807	7399	4044	2521	899
Республика Хакасия	Абакан	694	2058	3995	7399	2807	4227	2246	2807	7399	4044	2521	899
	Саяногорск	694	2058	3995	7399	2807	4227	2246	2807	7399	4044	2521	899
	Черногорск	694	2058	3995	7399	2807	4227	2246	2807	7399	4044	2521	899
	Прочие города и населенные пункты	694	2058	4317	7399	2807	4227	2246	2807	7399	4044	2521	899
Чеченская Республика	Все города и населенные пункты	694	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Чувашская Республика	Канаш	694	2058	3977	7399	2807	4227	2246	2807	7399	4044	2521	899
	Новочебоксарск	694	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
	Чебоксары	694	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
	Прочие города и населенные пункты	694	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Алтайский край	Барнаул	694	2058	3977	7399	2807	4227	2246	2807	7399	4044	2521	899
	Бийск	694	2058	3995	7399	2807	4227	2246	2807	7399	4044	2521	899
	Заринск	694	2058	4794	7399	2807	4227	2246	2807	7399	4044	2521	899
	Новоалтайск	694	2058	3995	7399	2807	4227	2246	2807	7399	4044	2521	899
	Рубцовск	694	2058	4794	7399	2807	4227	2246	2807	7399	4044	2521	899
	Прочие города и населенные пункты	694	2058	4794	7399	2807	4227	2246	2807	7399	4044	2521	899
Забайкальский край	Краснокаменск	694	2058	3595	7399	2807	4227	2246	2807	7399	4044	2521	899
	Чита	694	2058	3929	7399	2807	4227	2246	2807	7399	4044	2521	899
	Прочие города и населенные пункты	694	2058	3595	7399	2807	4227	2246	2807	7399	4044	2521	899
Камчатский край	Петропавловск-Камчатский	694	2058	4656	7399	2807	4227	2246	2807	7399	4044	2521	899
	Прочие города и населенные пункты	694	2058	4656	7399	2807	4227	2246	2807	7399	4044	2521	899
Краснодарский край	Анапа	694	2058	3995	7399	2807	4227	2246	2807	7399	4044	2521	899
	Геленджик	694	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
	Армавир	694	2058	4395	7399	2807	4227	2246	2807	7399	4044	2521	899
	Сочи	694	2058	4395	7399	2807	4227	2246	2807	7399	4044	2521	899
	Туапсе	694	2058	4395	7399	2807	4227	2246	2807	7399	4044	2521	899
	Белореченск	694	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
	Ейск	694	2058	4794	7399	2807	4227	2246	2807	7399	4044	2521	899
	Кропоткин	694	2058	4365	7399	2807	4227	2246	2807	7399	4044	2521	899
	Крымск	694	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
	Курганинск	694	2058	4794	7399	2807	4227	2246	2807	7399	4044	2521	899
	Лабинск	694	2058	4500	7399	2807	4227	2246	2807	7399	4044	2521	899
	Славянск-на-Кубани	694	2058	4365	7399	2807	4227	2246	2807	7399	4044	2521	899
	Тимашевск	694	2058	4794	7399	2807	4227	2246	2807	7399	4044	2521	899
	Тихорецк	694	2058	4365	7399	2807	4227	2246	2807	7399	4044	2521	899
	Краснодар	694	2058	4317	7399	2807	4227	2246	2807	7399	4044	2521	899
	Новороссийск	694	2058	4317	7399	2807	4227	2246	2807	7399	4044	2521	899
	Прочие города и населенные пункты	694	2058	4365	7399	2807	4227	2246	2807	7399	4044	2521	899
Красноярский край	Ачинск	694	2058	3995	7399	2807	4227	2246	2807	7399	4044	2521	899
	Зеленогорск	694	2058	3995	7399	2807	4227	2246	2807	7399	4044	2521	899
	Железногорск	694	2058	3995	7399	2807	4227	2246	2807	7399	4044	2521	899
	Норильск	694	2058	4794	7399	2807	4227	2246	2807	7399	4044	2521	899
	Канск	694	2058	4794	7399	2807	4227	2246	2807	7399	4044	2521	899
	Лесосибирск 	694	2058	4794	7399	2807	4227	2246	2807	7399	4044	2521	899
	Минусинск	694	2058	3995	7399	2807	4227	2246	2807	7399	4044	2521	899
	Назарово	694	2058	3995	7399	2807	4227	2246	2807	7399	4044	2521	899
	Красноярск	694	2058	3995	7399	2807	4227	2246	2807	7399	4044	2521	899
	Прочие города и населенные пункты	694	2058	4171	7399	2807	4227	2246	2807	7399	4044	2521	899
Пермский край	Березники	694	2058	3650	7399	2807	4227	2246	2807	7399	4044	2521	899
	Краснокамск	694	2058	4794	7399	2807	4227	2246	2807	7399	4044	2521	899
	Лысьва	694	2058	4794	7399	2807	4227	2246	2807	7399	4044	2521	899
	Чайковский	694	2058	3885	7399	2807	4227	2246	2807	7399	4044	2521	899
	Пермь	694	2058	3912	7399	2807	4227	2246	2807	7399	4044	2521	899
	Соликамск	694	2058	3650	7399	2807	4227	2246	2807	7399	4044	2521	899
	Прочие города и населенные пункты	694	2058	3650	7399	2807	4227	2246	2807	7399	4044	2521	899
Приморский край	Арсеньев	694	2058	4750	7399	2807	4227	2246	2807	7399	4044	2521	899
	Артем	694	2058	4794	7399	2807	4227	2246	2807	7399	4044	2521	899
	Находка	694	2058	4608	7399	2807	4227	2246	2807	7399	4044	2521	899
	Спасск-Дальний	694	2058	4794	7399	2807	4227	2246	2807	7399	4044	2521	899
	Уссурийск	694	2058	4794	7399	2807	4227	2246	2807	7399	4044	2521	899
	Владивосток	694	2058	4559	7399	2807	4227	2246	2807	7399	4044	2521	899
	Прочие города и населенные пункты	694	2058	4794	7399	2807	4227	2246	2807	7399	4044	2521	899
Ставропольский край	Буденновск	694	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
	Георгиевск	694	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
	Ессентуки	694	2058	3995	7399	2807	4227	2246	2807	7399	4044	2521	899
	Минеральные Воды	694	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
	Невинномысск	694	2058	3995	7399	2807	4227	2246	2807	7399	4044	2521	899
	Пятигорск	694	2058	3995	7399	2807	4227	2246	2807	7399	4044	2521	899
	Кисловодск	694	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
	Михайловск	694	2058	3995	7399	2807	4227	2246	2807	7399	4044	2521	899
	Ставрополь	694	2058	3995	7399	2807	4227	2246	2807	7399	4044	2521	899
	Прочие города и населенные пункты	694	2058	3995	7399	2807	4227	2246	2807	7399	4044	2521	899
Хабаровский край	Амурск	694	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
	Комсомольск-на-Амуре	694	2058	3929	7399	2807	4227	2246	2807	7399	4044	2521	899
	Хабаровск	694	2058	3947	7399	2807	4227	2246	2807	7399	4044	2521	899
	Прочие города и населенные пункты	694	2058	4794	7399	2807	4227	2246	2807	7399	4044	2521	899
Амурская область	Белогорск	694	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
	Свободный	694	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
	Благовещенск	694	2058	4427	7399	2807	4227	2246	2807	7399	4044	2521	899
	Прочие города и населенные пункты	694	2058	4427	7399	2807	4227	2246	2807	7399	4044	2521	899
Архангельская область	Архангельск	694	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
	Котлас	694	2058	3595	7399	2807	4227	2246	2807	7399	4044	2521	899
	Северодвинск	694	2058	3795	7399	2807	4227	2246	2807	7399	4044	2521	899
	Прочие города и населенные пункты	694	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Астраханская область	Астрахань	694	2058	3977	7399	2807	4227	2246	2807	7399	4044	2521	899
	Прочие города и населенные пункты	694	2058	3995	7399	2807	4227	2246	2807	7399	4044	2521	899
Белгородская область	Белгород	694	2058	3995	7399	2807	4227	2246	2807	7399	4044	2521	899
	Губкин	694	2058	4074	7399	2807	4227	2246	2807	7399	4044	2521	899
	Старый Оскол	694	2058	4074	7399	2807	4227	2246	2807	7399	4044	2521	899
	Прочие города и населенные пункты	694	2058	3995	7399	2807	4227	2246	2807	7399	4044	2521	899
Брянская область	Брянск	694	2058	3595	7399	2807	4227	2246	2807	7399	4044	2521	899
	Клинцы	694	2058	3706	7399	2807	4227	2246	2807	7399	4044	2521	899
	Прочие города и населенные пункты	694	2058	3995	7399	2807	4227	2246	2807	7399	4044	2521	899
Владимирская область	Владимир	694	2058	3977	7399	2807	4227	2246	2807	7399	4044	2521	899
	Гусь-Хрустальный	694	2058	4794	7399	2807	4227	2246	2807	7399	4044	2521	899
	Муром	694	2058	3977	7399	2807	4227	2246	2807	7399	4044	2521	899
	Прочие города и населенные пункты	694	2058	4794	7399	2807	4227	2246	2807	7399	4044	2521	899
Волгоградская область	Волгоград	694	2058	3995	7399	2807	4227	2246	2807	7399	4044	2521	899
	Волжский	694	2058	4074	7399	2807	4227	2246	2807	7399	4044	2521	899
	Камышин	694	2058	3995	7399	2807	4227	2246	2807	7399	4044	2521	899
	Михайловка	694	2058	3995	7399	2807	4227	2246	2807	7399	4044	2521	899
	Прочие города и населенные пункты	694	2058	3995	7399	2807	4227	2246	2807	7399	4044	2521	899
Вологодская область	Вологда	694	2058	3995	7399	2807	4227	2246	2807	7399	4044	2521	899
	Череповец	694	2058	3995	7399	2807	4227	2246	2807	7399	4044	2521	899
	Прочие города и населенные пункты	694	2058	3700	7399	2807	4227	2246	2807	7399	4044	2521	899
Воронежская область	Борисоглебск	694	2058	4794	7399	2807	4227	2246	2807	7399	4044	2521	899
	Лиски	694	2058	3828	7399	2807	4227	2246	2807	7399	4044	2521	899
	Россошь	694	2058	3995	7399	2807	4227	2246	2807	7399	4044	2521	899
	Воронеж	694	2058	3828	7399	2807	4227	2246	2807	7399	4044	2521	899
	Прочие города и населенные пункты	694	2058	3995	7399	2807	4227	2246	2807	7399	4044	2521	899
Ивановская область	Иваново	694	2058	4220	7399	2807	4227	2246	2807	7399	4044	2521	899
	Кинешма	694	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
	Шуя	694	2058	4220	7399	2807	4227	2246	2807	7399	4044	2521	899
	Прочие города и населенные пункты	694	2058	4220	7399	2807	4227	2246	2807	7399	4044	2521	899
Иркутская область	Ангарск	694	2058	3977	7399	2807	4227	2246	2807	7399	4044	2521	899
	Братск	694	2058	3977	7399	2807	4227	2246	2807	7399	4044	2521	899
	Тулун	694	2058	4794	7399	2807	4227	2246	2807	7399	4044	2521	899
	Усть-Илимск	694	2058	4794	7399	2807	4227	2246	2807	7399	4044	2521	899
	Усть-Кут	694	2058	4794	7399	2807	4227	2246	2807	7399	4044	2521	899
	Черемхово	694	2058	4794	7399	2807	4227	2246	2807	7399	4044	2521	899
	Иркутск	694	2058	3977	7399	2807	4227	2246	2807	7399	4044	2521	899
	Усолье-Сибирское	694	2058	4700	7399	2807	4227	2246	2807	7399	4044	2521	899
	Шелехов	694	2058	4700	7399	2807	4227	2246	2807	7399	4044	2521	899
	Прочие города и населенные пункты	694	2058	4794	7399	2807	4227	2246	2807	7399	4044	2521	899
Калининградская область	Калининград	694	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
	Прочие города и населенные пункты	694	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Калужская область	Калуга	694	2058	3995	7399	2807	4227	2246	2807	7399	4044	2521	899
	Обнинск	694	2058	4100	7399	2807	4227	2246	2807	7399	4044	2521	899
	Прочие города и населенные пункты	694	2058	3995	7399	2807	4227	2246	2807	7399	4044	2521	899
