Субъект РФ	Населенный пункт	Мотоциклы, мопеды и легкие квадрициклы (транспортные средства категории «A», «М») 	Транспортные средства категории «B», «BE» юридических лиц 	Транспортные средства категории «B», «BE» физических лиц, индивидуальных предпринимателей 	Транспортные средства категории «B», «BE» используемые в качестве такси 	Транспортные средства категорий «C» и «CE» с разрешенной максимальной массой 16 тонн и менее 	Транспортные средства категорий «C» и «CE» с разрешенной максимальной массой более 16 тонн 	Транспортные средства категорий «D» и «DE» с числом пассажирских мест до 16 включительно 	Транспортные средства категорий «D» и «DE» с числом пассажирских мест более 16 	Транспортные средства категорий «D» и «DE» используемые на регулярных перевозках с посадкой и высадкой пассажиров как в установленных остановочных пунктах по маршруту регулярных перевозок, так и в любом не запрещенном правилами дорожного движения месте по маршруту регулярных перевозок 	Троллейбусы (транспортные средства категории «Tb») 	Трамваи (транспортные средства категории «Tm»)	Тракторы, самоходные дорожно-строительные и иные машины*, за исключением транспортных средств, не имеющих колесных движителей 
Саратовская область	Балаково	694	2058	3977	7399	2807	4227	2246	2807	7399	4044	2521	899
	Балашов	694	2058	3977	7399	2807	4227	2246	2807	7399	4044	2521	899
	Вольск	694	2058	3977	7399	2807	4227	2246	2807	7399	4044	2521	899
	Саратов	694	2058	3590	7399	2807	4227	2246	2807	7399	4044	2521	899
	Энгельс	694	2058	3595	7399	2807	4227	2246	2807	7399	4044	2521	899
	Прочие города и населенные пункты	694	2058	3995	7399	2807	4227	2246	2807	7399	4044	2521	899
Сахалинская область	Южно-Сахалинск	694	2058	3930	7399	2807	4227	2246	2807	7399	4044	2521	899
	Прочие города и населенные пункты	694	2058	4642	7399	2807	4227	2246	2807	7399	4044	2521	899
Свердловская область	Асбест	694	2058	4230	7399	2807	4227	2246	2807	7399	4044	2521	899
	Ревда	694	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
	Березовский	694	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
	Верхняя Пышма	694	2058	3995	7399	2807	4227	2246	2807	7399	4044	2521	899
	Новоуральск	694	2058	3995	7399	2807	4227	2246	2807	7399	4044	2521	899
	Первоуральск	694	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
	Верхняя Салда	694	2058	4794	7399	2807	4227	2246	2807	7399	4044	2521	899
	Полевской	694	2058	4794	7399	2807	4227	2246	2807	7399	4044	2521	899
	Екатеринбург	694	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
	Прочие города и населенные пункты	694	2058	3995	7399	2807	4227	2246	2807	7399	4044	2521	899
Смоленская область	Вязьма	694	2058	3995	7399	2807	4227	2246	2807	7399	4044	2521	899
	Рославль	694	2058	3995	7399	2807	4227	2246	2807	7399	4044	2521	899
	Сафоново	694	2058	4794	7399	2807	4227	2246	2807	7399	4044	2521	899
	Ярцево 	694	2058	4794	7399	2807	4227	2246	2807	7399	4044	2521	899
	Смоленск	694	2058	3995	7399	2807	4227	2246	2807	7399	4044	2521	899
	Прочие города и населенные пункты	694	2058	3995	7399	2807	4227	2246	2807	7399	4044	2521	899
Тамбовская область	Мичуринск	694	2058	3929	7399	2807	4227	2246	2807	7399	4044	2521	899
	Тамбов	694	2058	3929	7399	2807	4227	2246	2807	7399	4044	2521	899
	Прочие города и населенные пункты	694	2058	3929	7399	2807	4227	2246	2807	7399	4044	2521	899
Тверская область	Вышний Волочек	694	2058	4794	7399	2807	4227	2246	2807	7399	4044	2521	899
	Кимры	694	2058	4794	7399	2807	4227	2246	2807	7399	4044	2521	899
	Ржев	694	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
	Тверь	694	2058	4140	7399	2807	4227	2246	2807	7399	4044	2521	899
	Прочие города и населенные пункты	694	2058	4140	7399	2807	4227	2246	2807	7399	4044	2521	899
Томская область	Северск	694	2058	3995	7399	2807	4227	2246	2807	7399	4044	2521	899
	Томск	694	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
	Прочие города и населенные пункты	694	2058	3995	7399	2807	4227	2246	2807	7399	4044	2521	899
Тульская область	Алексин	694	2058	4794	7399	2807	4227	2246	2807	7399	4044	2521	899
	Ефремов	694	2058	3706	7399	2807	4227	2246	2807	7399	4044	2521	899
	Новомосковск	694	2058	3706	7399	2807	4227	2246	2807	7399	4044	2521	899
	Тула	694	2058	3706	7399	2807	4227	2246	2807	7399	4044	2521	899
	Узловая	694	2058	3706	7399	2807	4227	2246	2807	7399	4044	2521	899
	Щекино	694	2058	3706	7399	2807	4227	2246	2807	7399	4044	2521	899
	Прочие города и населенные пункты	694	2058	3706	7399	2807	4227	2246	2807	7399	4044	2521	899
Тюменская область	Тобольск	694	2058	3995	7399	2807	4227	2246	2807	7399	4044	2521	899
	Тюмень	694	2058	3995	7399	2807	4227	2246	2807	7399	4044	2521	899
	Прочие города и населенные пункты	694	2058	3995	7399	2807	4227	2246	2807	7399	4044	2521	899
Ульяновская область	Димитровград	694	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
	Ульяновск	694	2058	4356	7399	2807	4227	2246	2807	7399	4044	2521	899
	Прочие города и населенные пункты	694	2058	4300	7399	2807	4227	2246	2807	7399	4044	2521	899
Челябинская область	Златоуст	694	2058	3995	7399	2807	4227	2246	2807	7399	4044	2521	899
	Миасс	694	2058	4794	7399	2807	4227	2246	2807	7399	4044	2521	899
	Копейск	694	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
	Магнитогорск	694	2058	3595	7399	2807	4227	2246	2807	7399	4044	2521	899
	Сатка	694	2058	4794	7399	2807	4227	2246	2807	7399	4044	2521	899
	Чебаркуль	694	2058	4794	7399	2807	4227	2246	2807	7399	4044	2521	899
	Челябинск	694	2058	3995	7399	2807	4227	2246	2807	7399	4044	2521	899
	Прочие города и населенные пункты	694	2058	3995	7399	2807	4227	2246	2807	7399	4044	2521	899
Ярославская область	Ярославль	694	2058	3828	7399	2807	4227	2246	2807	7399	4044	2521	899
	Прочие города и населенные пункты	694	2058	3929	7399	2807	4227	2246	2807	7399	4044	2521	899
Москва	Москва	694	2058	3995	7399	2807	4227	2246	2807	7399	4044	2521	899
Санкт-Петербург	Санкт-Петербург	694	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Севастополь	Севастополь	694	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Еврейская автономная область	Биробиджан	694	2058	4365	7399	2807	4227	2246	2807	7399	4044	2521	899
	Прочие города и населенные пункты	694	2058	4437	7399	2807	4227	2246	2807	7399	4044	2521	899
Ненецкий автономный округ	Все города и населенные пункты	694	2058	4794	7399	2807	4227	2246	2807	7399	4044	2521	899
Ханты-Мансийский автономный округ – Югра	Когалым	694	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
	Нефтеюганск	694	2058	3995	7399	2807	4227	2246	2807	7399	4044	2521	899
	Нягань	694	2058	3995	7399	2807	4227	2246	2807	7399	4044	2521	899
	Сургут	694	2058	3995	7399	2807	4227	2246	2807	7399	4044	2521	899
	Нижневартовск	694	2058	3995	7399	2807	4227	2246	2807	7399	4044	2521	899
	Ханты-Мансийск	694	2058	3995	7399	2807	4227	2246	2807	7399	4044	2521	899
	Прочие города и населенные пункты	694	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Чукотский автономный округ	Все города и населенные пункты	694	2058	4794	7399	2807	4227	2246	2807	7399	4044	2521	899
Ямало-Ненецкий автономный округ	Новый Уренгой	694	2058	3995	7399	2807	4227	2246	2807	7399	4044	2521	899
	Ноябрьск	694	2058	3995	7399	2807	4227	2246	2807	7399	4044	2521	899
	Прочие города и населенные пункты	694	2058	3995	7399	2807	4227	2246	2807	7399	4044	2521	899
Байконур	Байконур	694	2058	4794	7399	2807	4227	2246	2807	7399	4044	2521	899
Для ТС, следующих к месту регистрации ТС, а также к месту проведения техосмотра ТС, повторного техосмотра ТС		694	2058	4794	7399	2807	4227	2246	2807	7399	4044	2521	899
Для ТС, зарегистрированных в иностранных государствах и временно используемых на территории РФ 		694	2058	3432	7399	2807	4227	2246	2807	7399	4044	2521	899
